"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",110.179495377109,3.77268787062768,105.199070593477,107.380465649395,109.367990343428,112.13055595889,119.447816034442,1.00061674066312,3000
"loglik[1]",-4.47725591909694,0.681300080993234,-5.93356391922345,-4.9046667216803,-4.41702249020017,-3.99387304093977,-3.27117664566934,1.00085237997758,3000
"loglik[2]",-1.58907714542945,0.238287902550407,-2.08133024608518,-1.74794463722794,-1.57544547025244,-1.42454106543943,-1.14459058395789,1.00113283414241,3000
"loglik[3]",-1.12722591379146,0.205248358013044,-1.55281911383133,-1.25854922085017,-1.12122079275309,-0.989206987877846,-0.740768343258331,1.00083604438711,3000
"loglik[4]",-1.85462080134374,0.312596815611517,-2.55238262964666,-2.04617357373264,-1.83152468124565,-1.63045800465271,-1.335822491384,1.00062941897752,3000
"loglik[5]",-1.14728093616715,0.194089902755729,-1.5531102423286,-1.27115062525215,-1.13720686185179,-1.01098205874972,-0.796538660136246,1.00058842666643,3000
"loglik[6]",-2.72404841947077,0.392186435251476,-3.61607429588622,-2.96231367297532,-2.68386596582903,-2.44721958702522,-2.06195058380162,1.00059907368959,3000
"loglik[7]",-2.22565374622298,0.276626945181807,-2.83867417964401,-2.39295422642976,-2.20492617295813,-2.03190536564376,-1.74066271508749,1.00085314725584,3000
"loglik[8]",-2.21672409224404,0.293943688208075,-2.87689641946256,-2.40124629436355,-2.19062167899665,-2.00238595180565,-1.71971879022882,1.00089989714758,3000
"loglik[9]",-0.763373404810541,0.186607866953849,-1.14816079411579,-0.881290606057317,-0.752874544287642,-0.635890866349062,-0.420211694482672,1.00058593137528,3000
"loglik[10]",-2.0083259899617,0.25766220569013,-2.58005917128788,-2.16998125044137,-1.9905947229235,-1.83077360435342,-1.56232450994506,1.00090182527181,3000
"loglik[11]",-0.853362895114624,0.193130272589733,-1.26077588420971,-0.976212486833175,-0.845839993078793,-0.720030970344388,-0.499658495207159,1.00068506620993,3000
"loglik[12]",-0.833141352539075,0.185217432092457,-1.21675344153179,-0.950079159529696,-0.825074966698727,-0.703750045889956,-0.487607329040566,1.00058746527537,3000
"loglik[13]",-2.03245363965117,0.30405624375525,-2.71788264520673,-2.22157110896283,-2.00741695719623,-1.81853110412425,-1.50844336318985,1.00069480780031,3000
"loglik[14]",-1.6630367309387,0.242594908585732,-2.17641449085649,-1.81821113314285,-1.64788004762853,-1.49592600188586,-1.22677243576271,1.00071762546429,3000
"loglik[15]",-0.835092689605581,0.187895271760794,-1.22417903291669,-0.953830843107798,-0.827226333156667,-0.704862217454775,-0.488443385357905,1.00061188282001,3000
"loglik[16]",-1.84050328024559,0.234881103755034,-2.31239856023348,-1.99758555691648,-1.83056813148311,-1.6803948161616,-1.41407378178999,1.00080669246273,3000
"loglik[17]",-0.76005143897217,0.189202222685108,-1.14583591611325,-0.878481075690647,-0.749212904638064,-0.631097784388261,-0.416359842052632,1.00060541943132,3000
"loglik[18]",-1.08411538222963,0.182121675820717,-1.4569931627324,-1.19983856384291,-1.07778535364221,-0.959267239186765,-0.734741284349698,1.00094615117185,3000
"loglik[19]",-0.932991730937384,0.17198330446359,-1.28112656012794,-1.04510865489073,-0.928078771364902,-0.814839066187584,-0.612831002672541,1.00077759783786,3000
"loglik[20]",-1.71734760412714,0.230587324004557,-2.20740402886562,-1.86020825905765,-1.70258608518982,-1.553697516286,-1.31319703129205,1.00085933430498,3000
"loglik[21]",-2.17682878164523,0.366953326585839,-3.01693594979614,-2.40645051391804,-2.1452669307113,-1.91195518214687,-1.5779648564636,1.00058285018267,3000
"loglik[22]",-0.75813825555462,0.187640397682741,-1.13974475259005,-0.876219755922316,-0.747230153080214,-0.628206550466533,-0.414206873404875,1.00060534047002,3000
"loglik[23]",-4.55306382250825,0.697901682549242,-6.05459974111055,-4.99549996140636,-4.4928808538727,-4.05762024517005,-3.3195988918785,1.00088286050993,3000
"loglik[24]",-0.84506968987221,0.191400581246238,-1.2404197524543,-0.968844285762225,-0.835970596115718,-0.713730341688905,-0.501079653662405,1.00059431525968,3000
"loglik[25]",-1.09559658789753,0.194049375229107,-1.50858003324921,-1.22221168826742,-1.08991942729842,-0.964615468594983,-0.729457386352031,1.00050549798706,3000
"loglik[26]",-2.02953286899128,0.255428782001137,-2.59170774826261,-2.1849869229124,-2.01627399146951,-1.84889427013149,-1.57896719924868,1.00081503805006,3000
