"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",109.802823877131,3.18090743168793,105.699212776006,107.387039490184,109.104620966314,111.473242974013,117.978411727452,1.00085794502758,3000
"loglik[1]",-4.57627502048321,0.701819303780899,-6.13777785033763,-4.99811372443222,-4.50593722081067,-4.08419149905494,-3.39332626174717,1.00080531175174,3000
"loglik[2]",-1.51055535239127,0.227894262795385,-1.9816617185476,-1.65776952772402,-1.4977661490557,-1.34756655806215,-1.0955369028467,1.00224794845498,1100
"loglik[3]",-1.07460400610949,0.196449773221145,-1.47346120166791,-1.20257333921892,-1.06998781794563,-0.94114223471165,-0.712934128384583,1.00198018564475,1400
"loglik[4]",-1.86867586789701,0.319183512287817,-2.59896424838665,-2.05854607013785,-1.83478923782431,-1.64618415846177,-1.33464379501618,1.00258383966746,960
"loglik[5]",-1.09559926143957,0.188304006202705,-1.46986875398706,-1.21860118852616,-1.09377146932786,-0.971667665268587,-0.727573668135334,1.00061608481698,3000
"loglik[6]",-2.71480607160833,0.397271805775885,-3.61894276261053,-2.94830634254549,-2.67191153295862,-2.43266322659311,-2.06321355260814,1.00219615203796,1200
"loglik[7]",-2.19043694589421,0.268463037744079,-2.78128567779116,-2.35062430607727,-2.17199756804786,-2.00589203778288,-1.71280078622609,1.00129712295848,2500
"loglik[8]",-2.16707103993034,0.280893174486111,-2.76854392619447,-2.34626571206365,-2.14525927741665,-1.9725357186433,-1.67501234218379,1.00062738800036,3000
"loglik[9]",-0.762531581896844,0.18064935917322,-1.13133553065032,-0.877640397032477,-0.759957649783732,-0.635704636461967,-0.42546076811137,1.00063610155198,3000
"loglik[10]",-1.96264615376399,0.246677663110422,-2.49235746600569,-2.1128420979109,-1.94535956228974,-1.7960328904009,-1.51848409198619,1.00075028816534,3000
"loglik[11]",-0.826992056311916,0.185977652627152,-1.21188442138375,-0.947545206538755,-0.819636344807134,-0.696774004591453,-0.47639555617304,1.00125025537954,2700
"loglik[12]",-0.828924840246071,0.178109096323705,-1.18955109422701,-0.945090544783251,-0.823509908778951,-0.70658193127128,-0.504500985038488,1.00109771108457,3000
"loglik[13]",-1.95314203722117,0.290270641135029,-2.58405723519301,-2.13637340341129,-1.93702943916251,-1.75049181382444,-1.44592922767041,1.00090460016558,3000
"loglik[14]",-1.59681681099438,0.231585091475802,-2.08015278698781,-1.74628104999507,-1.58929400918783,-1.4420198054707,-1.1673863708893,1.00066454283206,3000
"loglik[15]",-0.824071965465311,0.18057262833129,-1.19029691722872,-0.941679456995716,-0.816306982240362,-0.697631726903859,-0.488485990313019,1.00116080087505,3000
"loglik[16]",-1.74802293187375,0.221235493636494,-2.19904217930885,-1.89960657185002,-1.73864080881193,-1.58909378169641,-1.34108532156701,1.00242911779067,1000
"loglik[17]",-0.754067837820542,0.18384082866484,-1.13655860265702,-0.871037240298924,-0.75180276331182,-0.626364343116749,-0.413272421220262,1.0005260811815,3000
"loglik[18]",-1.12882036843088,0.17908215758607,-1.49732612582963,-1.24743085864018,-1.12398206281403,-1.00416963650669,-0.795649373073932,1.00157302778187,1900
"loglik[19]",-0.976695709408774,0.17014185284093,-1.32620834841395,-1.08769383329313,-0.975521655698425,-0.858254403213657,-0.658414325033417,1.00050610502667,3000
"loglik[20]",-1.66677179163314,0.220460330944635,-2.12120661710427,-1.80089615637604,-1.65446709755649,-1.52066490100302,-1.25594617431982,1.00055397637714,3000
"loglik[21]",-2.1895108056401,0.376101057134995,-3.0525357143106,-2.40737955028534,-2.1465181380886,-1.92936954517884,-1.56664312954679,1.00251943431114,990
"loglik[22]",-0.756332819171142,0.182022817561907,-1.12387981393522,-0.873550210163164,-0.754727669709448,-0.630109918880154,-0.419120842703165,1.00054389323859,3000
"loglik[23]",-4.64657652327355,0.716645661800743,-6.21304023132266,-5.07910454384591,-4.57591566077963,-4.14645714038335,-3.43784583096724,1.00078925132876,3000
"loglik[24]",-0.819789960840659,0.187227041613738,-1.20708008340456,-0.943964355457744,-0.818277875599253,-0.691410396531971,-0.465017936968229,1.00050927655691,3000
"loglik[25]",-1.0357406035771,0.18758923892587,-1.4157098271918,-1.15867739363387,-1.03599601918542,-0.906042313655727,-0.675636672736402,1.00132250015795,2400
"loglik[26]",-2.00057315021001,0.250866568838385,-2.55311212133008,-2.14691819385236,-1.97837652873116,-1.83023454353643,-1.55544854157594,1.00165605390618,1700
"loglik[27]",-0.789344885152335,0.186147891548571,-1.16939700580742,-0.911876911920842,-0.787428175322312,-0.659736802356621,-0.438104863166932,1.00050454013909,3000
"loglik[28]",-3.20166596135528,0.46008583510083,-4.22614994292091,-3.46401660300742,-3.16104541639681,-2.88274056627762,-2.42671225632086,1.00109298738053,3000
"loglik[29]",-1.1789747899149,0.191901728736442,-1.57505445140691,-1.30261352893411,-1.16952905434446,-1.04572141512131,-0.818297809502023,1.00194685782417,1400
"loglik[30]",-1.06211374851675,0.17516006108024,-1.42106253518466,-1.17864517455624,-1.05698801200139,-0.939919399479329,-0.735944736443967,1.0012804600911,2600
