"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",108.978941873546,3.21588864776808,104.956573709619,106.608165273598,108.204773898611,110.603899823233,116.8398418506,1.00271880822249,900
"loglik[1]",-4.79951322724159,0.71738419881699,-6.32610628880613,-5.22771144457459,-4.74382555553816,-4.30317603378604,-3.54849517519813,1.00072810584012,3000
"loglik[2]",-1.54799145977516,0.235712089347436,-2.06554929240195,-1.69449200360325,-1.53362404585917,-1.38680451521344,-1.12489209255638,1.00327138774305,780
"loglik[3]",-1.10578434258148,0.200784946137925,-1.52474092588771,-1.23455154004071,-1.0973179472001,-0.965786466918573,-0.736083937332221,1.0029595536237,810
"loglik[4]",-1.73927701961059,0.298885451868465,-2.39018396079934,-1.91543523015647,-1.72066901183029,-1.52937172245142,-1.23425899497143,1.0009222139763,3000
"loglik[5]",-1.04333337869524,0.185979521810772,-1.42514681531549,-1.16587052100751,-1.03657202746588,-0.917498018382977,-0.693906779348933,1.00237680595591,1100
"loglik[6]",-2.53786695074319,0.380212287091878,-3.40082540717512,-2.76458364803275,-2.5147558239895,-2.26974281049845,-1.89966618084994,1.00076287005669,3000
"loglik[7]",-2.0485165538461,0.263431968760297,-2.62268327460033,-2.20885685005275,-2.02894851890113,-1.86500283658422,-1.56796799081899,1.00052617386793,3000
"loglik[8]",-2.04072879536998,0.281764342344309,-2.64422406764376,-2.2124898006874,-2.02010869235966,-1.84637820364283,-1.54930798525654,1.00079925497852,3000
"loglik[9]",-0.766851944550814,0.181411358690241,-1.14291969109109,-0.889034683533596,-0.76065503039602,-0.644333165139557,-0.420087045654803,1.00109218547185,3000
"loglik[10]",-1.84078491506353,0.245609362025416,-2.36550610565692,-1.99586466438857,-1.82316173210168,-1.67125997388356,-1.39842738670223,1.00079527862846,3000
"loglik[11]",-0.846494062737998,0.187941962443741,-1.23978707185116,-0.96768480244576,-0.84247759112897,-0.716921405732956,-0.502758571181831,1.00204831519922,1300
"loglik[12]",-0.856689216745993,0.182293283659611,-1.23460577573617,-0.974258392813371,-0.853626514973455,-0.730262062424792,-0.509623457329296,1.00131342047197,2500
"loglik[13]",-1.88766062053825,0.293445095418163,-2.51594016290623,-2.06396539292781,-1.86110836765697,-1.68536689203813,-1.38517147249426,1.00230652569921,1600
"loglik[14]",-1.52397013986787,0.233177975793575,-2.02530085443813,-1.67119976815012,-1.51235864903732,-1.36016329090896,-1.10215539057684,1.00193103289256,1400
"loglik[15]",-0.850343545847548,0.184146083033413,-1.23953312803576,-0.969219027585242,-0.848222177160412,-0.724501256130239,-0.501272476848761,1.00152677015205,1900
"loglik[16]",-1.75376050256519,0.227711812338658,-2.25258221268986,-1.88950771618291,-1.73797666797405,-1.59679383401178,-1.34754917453808,1.00526302718051,700
"loglik[17]",-0.741512727993017,0.182100617693384,-1.12618913035921,-0.866261883676796,-0.734766983301435,-0.618394504275445,-0.396033455714557,1.00112153762953,3000
"loglik[18]",-1.0913027366992,0.172818636987166,-1.4381008992155,-1.20338931306372,-1.08912890176549,-0.973697994710988,-0.759816388476428,1.00075316386028,3000
