"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",109.052324566861,3.22661379312066,105.01518761512,106.727293710795,108.35702314554,110.531251957328,117.515235632371,1.00070957766124,3000
"loglik[1]",-4.51756158917876,0.702034868996013,-6.07298211539745,-4.92879002101953,-4.46935166114995,-4.00750321197883,-3.32864450794369,1.00122360613963,2800
"loglik[2]",-1.45247101586786,0.215778784046619,-1.89551496530421,-1.58985439895528,-1.4398380793637,-1.30564711753256,-1.05777670908872,1.00068972519213,3000
"loglik[3]",-1.03336523417035,0.185994682327236,-1.41983463854163,-1.15178943916017,-1.02854123725331,-0.908046164136069,-0.684506205794276,1.00060318574849,3000
"loglik[4]",-1.89893305294386,0.313967814208325,-2.59286050452073,-2.08836377524759,-1.87668726117094,-1.68136074046359,-1.35456730842822,1.00112215772002,3000
"loglik[5]",-1.08047893469431,0.188236263229052,-1.46419825588745,-1.20268161377054,-1.07926481461471,-0.951813289984425,-0.726697684366996,1.00058106025939,3000
"loglik[6]",-2.74294897907025,0.389929503037478,-3.59288255737323,-2.98062251816614,-2.70542556284958,-2.46900259401159,-2.07086547940715,1.00135848692209,2300
"loglik[7]",-2.20146423522256,0.273739930992428,-2.77212747974392,-2.3693022940628,-2.18679704522807,-2.00956544985944,-1.70977751721294,1.001671758912,2500
"loglik[8]",-2.16770860945804,0.291590673582772,-2.79268645781363,-2.34265754451124,-2.14521334120818,-1.96950460474123,-1.65132692664891,1.00157834642407,3000
"loglik[9]",-0.755038338450393,0.18104166447509,-1.13909445933287,-0.868586587464353,-0.747478243449784,-0.633648949366143,-0.414708380451874,1.00133206898908,2400
"loglik[10]",-1.96498689497695,0.25551322409178,-2.50941468836554,-2.11742141619432,-1.95166560107548,-1.79193429736849,-1.49664256671341,1.00157634773143,3000
"loglik[11]",-0.802984862796499,0.180717696362119,-1.18413285290727,-0.92345687013489,-0.794959211341649,-0.683446149872241,-0.465486312948911,1.00101661078183,3000
"loglik[12]",-0.812301434319302,0.176163275005746,-1.185939698505,-0.927743556509903,-0.803715727210718,-0.694175121998517,-0.483871658782712,1.00132404174224,2400
"loglik[13]",-1.92415868209328,0.298224446420153,-2.57713023158554,-2.10161816759301,-1.89934145916142,-1.71419783245684,-1.40997568359075,1.00107732802248,3000
"loglik[14]",-1.57819965424168,0.237919976106742,-2.08283465733438,-1.72336457010618,-1.56721615263293,-1.41317734154289,-1.14880815988293,1.00078495034424,3000
"loglik[15]",-0.804886581269569,0.177601930085811,-1.17709213159302,-0.9206393193525,-0.795832431723929,-0.689057680047411,-0.471887105614195,1.00123017961219,2700
"loglik[16]",-1.69213055906576,0.211992779808163,-2.15215822363044,-1.82221348164041,-1.68086200048696,-1.54783577347015,-1.3127717009862,1.00153764261421,3000
"loglik[17]",-0.749443102752606,0.184717993875994,-1.14308149096138,-0.86435142662938,-0.745308070163059,-0.625138604061912,-0.404565509604001,1.0012386987522,2700
"loglik[18]",-1.15125298645311,0.183730199224426,-1.53044756609552,-1.2700368237256,-1.1418703133654,-1.02683813848819,-0.809144912195063,1.00117453859894,3000
"loglik[19]",-0.986312859260249,0.174273727325505,-1.34768520899654,-1.1004640305389,-0.980773118520827,-0.86679816495009,-0.659948113223065,1.00158113382329,1800
"loglik[20]",-1.66282142490315,0.228532201557201,-2.14003826455594,-1.8042179878066,-1.65336700190164,-1.50635548819812,-1.23800908302969,1.00115811426427,3000
"loglik[21]",-2.22243400213577,0.368208709696396,-3.03627715896003,-2.45140004454211,-2.19051840437775,-1.96936804518244,-1.5841496140003,1.00115169480227,3000
"loglik[22]",-0.751638449862551,0.183066796003871,-1.14139060722723,-0.865567794141362,-0.746405253880139,-0.629557733311247,-0.408407278702517,1.00129487284967,2500
"loglik[23]",-4.5842317577962,0.718116070753536,-6.18895961723613,-5.004041963837,-4.53841556252253,-4.05978419502311,-3.35772013345128,1.00117939037099,2900
"loglik[24]",-0.813109399368474,0.187088111698927,-1.18970986524144,-0.932510519719316,-0.805504698328634,-0.688465100633137,-0.461830902171393,1.00097007661792,3000
"loglik[25]",-1.00624157527046,0.18056106131593,-1.37850380351791,-1.12121177768356,-1.00172910109839,-0.881141084722767,-0.668394821042067,1.00054148054542,3000
"loglik[26]",-2.01401715061678,0.253515910827639,-2.54091479387987,-2.16836384560408,-2.0035104961547,-1.83737680584368,-1.54911249546727,1.00124717932009,2700
"loglik[27]",-0.786534407576224,0.187186805833539,-1.16520463461709,-0.905197677400121,-0.780021653734308,-0.660575296100189,-0.436635664500585,1.00111593105787,3000
"loglik[28]",-3.162806675492,0.457153575876706,-4.16183377758801,-3.43810912304029,-3.1274908316789,-2.83233270433454,-2.40341927665451,1.00141093676746,2200
"loglik[29]",-1.20293290395254,0.195586658142879,-1.61045938653067,-1.33063290279804,-1.19281866747504,-1.06858811725751,-0.846951210749968,1.00110928737462,3000
"loglik[30]",-1.08169755300891,0.180245742563644,-1.46410614399496,-1.19990657965085,-1.07289338417135,-0.961145449940927,-0.746427937033364,1.00124912312374,2700
"loglik[31]",-1.59615944325519,0.209132077230782,-2.03932469535442,-1.72912750962388,-1.58107563568014,-1.45213941537324,-1.2269732034266,1.00152666372314,1900
"loglik[32]",-2.32340301859683,0.318622485384524,-3.03180877211527,-2.50782172610914,-2.29591378504743,-2.09771049826966,-1.77706531545529,1.00157419179462,1900
"loglik[33]",-1.00150691531017,0.17029354488929,-1.34268488410347,-1.11218088994718,-0.994800434679494,-0.884740911512062,-0.678843549414005,1.00161616248271,1800
"p.global[1]",0.156944546327469,0.100355101171076,0.00932262739678911,0.0763810027887961,0.143828187245144,0.224309000941678,0.37014610290995,1.00526861100855,1400
"p.global[2]",0.0690074442804679,0.0531376371240539,0.00313180702508304,0.0263417261381628,0.0579110352198753,0.0998992273485179,0.193682578413629,1.00064791716128,3000
"p.global[3]",0.0730775994867263,0.050617584416086,0.00442835800050364,0.031438503279418,0.0654991466235827,0.104967619599416,0.189708898422822,1.0008121989638,3000
"p.global[4]",0.178433139474336,0.10269977899489,0.0142363832998617,0.0984626963448585,0.16895516572189,0.24685762907777,0.394830989931408,1.00096454830127,3000
"p.global[5]",0.1694410404591,0.122946548782916,0.00504338511800172,0.0727256133814185,0.148229817858799,0.241106297531118,0.459099768589895,1.01886903976281,500
"p.global[6]",0.353096229971901,0.14193183935189,0.0624039927841739,0.259834875357084,0.358772397348085,0.452461076430399,0.61817832037148,1.00099555539541,3000
"resid.prop[1]",3.80964997888266,1.45912311805066,1.7246560957385,2.79646686470478,3.57579771684408,4.53703306430394,7.35184336330693,1.00158775192013,1800
"resid.prop[2]",3.95552857852914,1.37287208261214,1.90048738704133,3.01327363796905,3.74758521095584,4.70839994209876,7.11994998993823,1.00060296628259,3000
