x,Group,mean,sd,ymin,Lower,Middle,Upper,ymax
Clubhook Squid,Frequent,0.080059282,0.105509018,7.72E-08,0.004318635,0.034146272,0.115709994,0.375069092
Clubhook Squid,Non-Frequent,0.062440808,0.079320369,1.94E-09,0.004209235,0.02770109,0.093106489,0.267257832
Grenadier,Frequent,0.032392991,0.045026369,3.13E-08,0.002046466,0.013651585,0.045206223,0.159118246
Grenadier,Non-Frequent,0.028249207,0.040321961,4.56E-09,0.001435655,0.011507013,0.039111123,0.142935944
Magister Squid,Frequent,0.057935603,0.062391698,5.45E-08,0.005993748,0.037404777,0.090721159,0.213081418
Magister Squid,Non-Frequent,0.081503485,0.101353253,1.02E-09,0.003877883,0.034434866,0.128241924,0.339013582
Sablefish. Dogfish. Ragfish,Frequent,0.243309102,0.151790361,5.23E-05,0.126323374,0.243714972,0.349522016,0.543700762
Sablefish. Dogfish. Ragfish,Non-Frequent,0.439347921,0.238381555,0.000537293,0.267664949,0.47004755,0.62464153,0.824300446
Shortraker Rockfish,Frequent,0.110885082,0.13991173,6.21E-08,0.008045869,0.057166505,0.165214652,0.483062455
Shortraker Rockfish,Non-Frequent,0.166799057,0.222738854,6.04E-07,0.010774155,0.064755358,0.243088346,0.778345055
Skate,Frequent,0.47541794,0.19542567,0.015225532,0.365430164,0.491582175,0.603972377,0.823130378
Skate,Non-Frequent,0.221659523,0.191071265,2.69E-08,0.036743598,0.197647862,0.354821862,0.636986477
