,mean,sd,2.50%,25%,50%,75%,97.50%
"p.fac1[1,1]",0.055588003,0.069022012,6.68E-14,0.00301757,0.02934851,0.081335617,0.240855382
"p.fac1[2,1]",0.08916511,0.094425365,3.79E-12,0.011207142,0.058030432,0.140308899,0.331341486
"p.fac1[1,2]",0.030378994,0.040024407,5.35E-13,0.001656701,0.015292126,0.043587234,0.136372072
"p.fac1[2,2]",0.048657069,0.056609545,4.58E-14,0.003831515,0.029436443,0.073322237,0.202735672
"p.fac1[1,3]",0.053864553,0.066318538,1.99E-13,0.002579937,0.02752507,0.082587481,0.229958335
"p.fac1[2,3]",0.083870071,0.083932085,3.09E-12,0.010229799,0.061229675,0.136655314,0.299948167
"p.fac1[1,4]",0.532788872,0.259727107,0.008918142,0.359819682,0.533383753,0.706879633,0.999952722
"p.fac1[2,4]",0.360697687,0.181699181,4.43E-05,0.236942338,0.362562926,0.483953538,0.720184493
"p.fac1[1,5]",0.107601763,0.161522356,3.11E-13,0.006576648,0.052513978,0.139602362,0.557409572
"p.fac1[2,5]",0.187578019,0.200711023,1.36E-07,0.033422905,0.128614257,0.273019831,0.723823399
"p.fac1[1,6]",0.219777816,0.191175521,9.78E-12,0.052386199,0.187758666,0.344476635,0.65424795
"p.fac1[2,6]",0.230032044,0.171518023,2.62E-12,0.075850572,0.228380239,0.347080319,0.604644328
