Species,SampleName,d15N,d13C,C:N,%N,%C,St.Dev.C,St.Dev.N,Sample.Number,Layer,Date,Year,Month,Whale.ID,Latitude,Longitude,Region,Frequent,Recent,Season,Comments
Sperm Whale,41492.Outer1,15.93,-18.49,3.25,12.08,39.25,0.16,0.27,41492,Outer,6/19/04,2004,Jun,Unk,57.18,136.3533,KRZ,Unk,Old,Early,
Sperm Whale,41492.Middle2,15.79,-18.20,3.28,13.45,44.17,0.16,0.27,41492,Middle,6/19/04,2004,Jun,Unk,57.18,136.3533,KRZ,Unk,Old,Early,
Sperm Whale,41492.Inner3,15.14,-18.42,3.27,12.07,39.42,0.16,0.27,41492,Inner,6/19/04,2004,Jun,Unk,57.18,136.3533,KRZ,Unk,Old,Early,
Sperm Whale,41492.Full4,15.44,-18.60,3.37,11.69,39.34,0.16,0.27,41492,Full,6/19/04,2004,Jun,Unk,57.18,136.3533,KRZ,Unk,Old,Early,
Sperm Whale,45758.Outer1,16.27,-17.39,3.58,11.11,39.81,0.16,0.27,45758,Outer,8/21/04,2004,Aug,Unk,57.21017,136.31683,KRZ,Unk,Old,Late,
Sperm Whale,45758.Middle2,16.43,-17.21,3.33,11.20,37.26,0.16,0.27,45758,Middle,8/21/04,2004,Aug,Unk,57.21017,136.31683,KRZ,Unk,Old,Late,
Sperm Whale,45758.Inner3,15.97,-16.88,3.06,12.29,37.61,0.16,0.27,45758,Inner,8/21/04,2004,Aug,Unk,57.21017,136.31683,KRZ,Unk,Old,Late,
Sperm Whale,45758.Full4,15.93,-17.71,3.41,11.00,37.46,0.16,0.27,45758,Full,8/21/04,2004,Aug,Unk,57.21017,136.31683,KRZ,Unk,Old,Late,
Sperm Whale,45756.Outer1,16.20,-17.12,3.13,11.99,37.57,0.16,0.27,45756,Outer,8/21/04,2004,Aug,Unk,57.34453,136.46583,KRZ,Unk,Old,Late,
Sperm Whale,45756.Middle2,16.16,-17.36,3.08,12.22,37.63,0.16,0.27,45756,Middle,8/21/04,2004,Aug,Unk,57.34453,136.46583,KRZ,Unk,Old,Late,
Sperm Whale,45756.Inner3,16.24,-17.08,3.07,12.28,37.63,0.16,0.27,45756,Inner,8/21/04,2004,Aug,Unk,57.34453,136.46583,KRZ,Unk,Old,Late,
Sperm Whale,45756.Full4,15.63,-17.55,3.36,11.57,38.86,0.16,0.27,45756,Full,8/21/04,2004,Aug,Unk,57.34453,136.46583,KRZ,Unk,Old,Late,
Sperm Whale,34558.Outer1,17.71,-16.59,3.52,11.39,40.10,0.16,0.27,34558,Outer,5/27/03,2003,May,GOA.002,57.2,13632933,KRZ,Non-Frequent,Old,Early,
Sperm Whale,34558.Middle2,17.95,-16.52,3.39,11.52,39.10,0.16,0.27,34558,Middle,5/27/03,2003,May,GOA.002,57.2,13632933,KRZ,Non-Frequent,Old,Early,
Sperm Whale,34558.Inner3,18.08,-17.02,3.50,11.55,40.43,0.16,0.27,34558,Inner,5/27/03,2003,May,GOA.002,57.2,13632933,KRZ,Non-Frequent,Old,Early,
Sperm Whale,34558.Full4,18.13,-16.72,3.41,11.60,39.52,0.16,0.27,34558,Full,5/27/03,2003,May,GOA.002,57.2,13632933,KRZ,Non-Frequent,Old,Early,
Sperm Whale,45757.Outer1,17.01,-17.24,3.51,12.02,42.17,0.16,0.27,45757,Outer,8/21/04,2004,Aug,GOA.024,57.20635,136.31683,KRZ,Non-Frequent,Old,Late,
Sperm Whale,45757.Inner3,16.97,-16.73,3.09,13.02,40.18,0.16,0.27,45757,Inner,8/21/04,2004,Aug,GOA.024,57.20635,136.31683,KRZ,Non-Frequent,Old,Late,
Sperm Whale,45757.Full4,17.19,-17.05,3.36,12.32,41.38,0.16,0.27,45757,Full,8/21/04,2004,Aug,GOA.024,57.20635,136.31683,KRZ,Non-Frequent,Old,Late,
Sperm Whale,52893 0.1,17.73,-17.04,3.55,11.97,42.50,0.08,0.11,52893,Outer,5/25/05,2005,May,GOA.045,57.1252,136.24802,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52893 M.2,17.84,-17.13,3.35,12.99,43.56,0.08,0.11,52893,Middle,5/25/05,2005,May,GOA.045,57.1252,136.24802,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52893 I3,18.25,-16.56,3.13,13.80,43.23,0.08,0.11,52893,Inner,5/25/05,2005,May,GOA.045,57.1252,136.24802,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52893 FULL 4,18.00,-17.11,3.36,12.56,42.20,0.08,0.11,52893,Full,5/25/05,2005,May,GOA.045,57.1252,136.24802,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52895 0.1,17.53,-17.57,3.69,12.06,44.47,0.08,0.11,52895,Outer,5/25/05,2005,May,GOA.045,57.14709,136.25952,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52895 I.3,17.77,-16.42,3.05,14.28,43.63,0.08,0.11,52895,Inner,5/25/05,2005,May,GOA.045,57.14709,136.25952,KRZ,Non-Frequent,Old,Early,
Sperm Whale,52895 FULL.4,17.50,-17.07,3.17,13.53,42.84,0.08,0.11,52895,Full,5/25/05,2005,May,GOA.045,57.14709,136.25952,KRZ,Non-Frequent,Old,Early,
Sperm Whale,15100 O.1,17.25,-17.09,3.62,12.36,44.75,0.14,0.23,15100,Outer,9/13/15,2015,Sep,GOA.091,57.1369,134.6941,CHM,Frequent,Recent,Late,
Sperm Whale,15100 M.2,16.88,-16.98,3.38,13.24,44.61,0.16,0.11,15100,Middle,9/13/15,2015,Sep,GOA.091,57.1369,134.6941,CHM,Frequent,Recent,Late,
Sperm Whale,15100 I.3,17.51,-16.30,3.08,14.45,44.46,0.05,0.14,15100,Inner,9/13/15,2015,Sep,GOA.091,57.1369,134.6941,CHM,Frequent,Recent,Late,
Sperm Whale,15100 FULL.4,17.03,-16.78,3.34,13.33,44.48,0.06,0.24,15100,Full,9/13/15,2015,Sep,GOA.091,57.1369,134.6941,CHM,Frequent,Recent,Late,
Sperm Whale,158135 O.1,16.60,-17.37,4.01,10.72,42.94,0.22,0.13,158135,Outer,9/17/14,2014,Sep,GOA.023,56.85947,134.55873,CHM,Non-Frequent,Recent,Late,
Sperm Whale,158135 M.2,16.61,-17.42,4.04,11.07,44.77,0.22,0.13,158135,Middle,9/17/14,2014,Sep,GOA.023,56.85947,134.55873,CHM,Non-Frequent,Recent,Late,
Sperm Whale,158135 I.3,16.85,-17.37,3.62,12.21,44.23,0.22,0.13,158135,Inner,9/17/14,2014,Sep,GOA.023,56.85947,134.55873,CHM,Non-Frequent,Recent,Late,
Sperm Whale,158135 Full.4,16.69,-17.66,4.01,11.20,44.91,0.22,0.13,158135,Full,9/17/14,2014,Sep,GOA.023,56.85947,134.55873,CHM,Non-Frequent,Recent,Late,
Sperm Whale,158134 O.1,17.13,-17.41,3.73,12.28,45.79,0.22,0.13,158134,Outer,9/17/14,2014,Sep,GOA.091,56.87038,134.55478,CHM,Frequent,Recent,Late,
Sperm Whale,158134 M.2,17.17,-16.72,3.33,13.34,44.42,0.22,0.13,158134,Middle,9/17/14,2014,Sep,GOA.091,56.87038,134.55478,CHM,Frequent,Recent,Late,
Sperm Whale,158134 I.3,17.53,-16.40,3.19,13.59,43.42,0.22,0.13,158134,Inner,9/17/14,2014,Sep,GOA.091,56.87038,134.55478,CHM,Frequent,Recent,Late,
