d13C,d15N,Season
-18.42,15.14,Early
-16.88,15.97,Late
-17.08,16.24,Late
-17.02,18.08,Early
-16.73,16.97,Late
-16.56,18.25,Early
-16.42,17.77,Early
-16.3,17.51,Late
-17.37,16.85,Late
-16.4,17.53,Late
-17.24,16.54,Late
-17.42,16.61,Late
-16.27,16.77,Late
-16.43,16.98,Late
-17.37,16.58,Early
-16.57,16.11,Late
-17.28,16.97,Early
-17.54,17.5,Early
-17.66,17.08,Early
-16.47,17.34,Early
-16.93,18.22,Early
-17.33,16.94,Mid
-18.4,15.09,Mid
-17.05,17.04,Mid
-16.82,16.6,Mid
-16.54,17.8,Mid
-17.16,17.08,Mid
-18.28,15.6,Mid
-17.46,17.6,Mid
-17.53,17.43,Mid
-17.86,16.1,Mid
-18.13,15.91,Mid
-17.63,16.5,Mid
