Species,d15N.LE,d15N.bulk,d13C.LE,d13C.bulk,C.N.LE,C.N.bulk,St.Dev.C,St.Dev.N,Sample.Type,Sub.Species,Sci.Name,SampleName,Sample,Tissue.Type,Station,Date,Month,Year,Depth.Strata,Length,Weight,Latitude,Longitude,Latitude2,Longitude2,Latitude3,Longitude3,Comment
Clubhook Squid,16.29,16.32,-17.88,-17.7,3.09,3.08,0.08,0.11,Or,Clubhook Squid,Onykia,CD20140317 SQT1-LE,CD20140317,Tentacle,SQ,3/17/14,Mar,2014,700,NA,,57.6198,136.5849667,57 37.188,136 35.098,57.6198,136.5849667,
Clubhook Squid,15.63,15.42,-17.99,-19.96,2.12,2.65,0.08,0.11,Or,Clubhook Squid,Onykia,MY20150324 SQM1-LE,My20150324.1,Mantle,SQ,3/24/15,Mar,2015,600,NA,,57.56133333,136.8086667,57 33.68,136 48.52,57.56133333,136.8086667,
Clubhook Squid,16.22,15.74,-18.94,-20.18,2.75,3.01,0.08,0.11,Or,Clubhook Squid,Onykia,MY20150324 SQT1-LE,My20150324.2,Tentacle,SQ,3/24/15,Mar,2015,600,NA,,57.56133333,136.8086667,57 33.68,136 48.52,57.56133333,136.8086667,
Clubhook Squid,18.16,16.55,-18.95,-20.23,2.69,2.58,0.05,0.04,Or,Clubhook Squid,Onykia,SQ20160503-2T L.E,SQ20160503.2,Tentacle,SQ,5/3/16,May,2016,700,NA,,56.59325556,136.0678111,"56 35' 35.72\"",136 04' 04.12\""""",56.59325556,136.0678111,,
Clubhook Squid,18.07,17.24,-19.15,-20.45,2.99,3.26,0.05,0.04,Or,Clubhook Squid,Onykia,SQ20160421-1TA L.E,SQ20160421.1,Tentacle,SQ,4/21/16,Apr,2016,NA,NA,,57.019637,136.23504,57.019637,136.23504,57.019637,136.23504,
Clubhook Squid,17.6,17.37,-19.15,-20.48,3.01,3.19,0.05,0.04,Or,Clubhook Squid,Onykia,SQ20160503-1M L.E,SQ20160503.1,Mantle,SQ,5/3/16,May,2016,NA,NA,,NA,NA,NA,NA,NA,NA,
Clubhook Squid,17.53,17.65,-18.61,-20.96,2.98,2.66,0.05,0.04,Or,Clubhook Squid,Onykia,SQ20160503-1T L.E,SQ20160503.3,Tentacle,SQ,5/3/16,May,2016,NA,NA,,NA,NA,NA,NA,NA,NA,
Clubhook Squid,17.41,17.41,-19.13,NA,2.69,NA,0.15,0.2,Or,Clubhook Squid,Onykia,SQ20170326-1M,SQ-1M,Mantle,SQ,3/26/17,Mar,2017,380,NA,,59.5493,143.63885,59 32.958,143 38.331,59.5493,143.63885,
Clubhook Squid,17.31,17.31,-19.7,NA,2.4,NA,0.15,0.2,Or,Clubhook Squid,Onykia,SQ20170326-1T,SQ-1T,Tentacle,SQ,3/26/17,Mar,2017,380,NA,,59.5493,143.63885,59 32.958,143 38.331,59.5493,143.63885,
Clubhook Squid,17.73,15.93,-18.79,-20.56,2.74,2.87,0.061467616,0.090672783,Or,Clubhook Squid,Onykia,Sq20180404,Or20180404-1,Tentacle,SQ,4/4/18,Apr,2018,NA,NA,,NA,NA,NA,NA,NA,NA,
